intercept,track_intercept_std,mean_rate,error
-6.6000000000000005,0.3799999999999999,1.4596666666666667,0.08633333333333337
-6.590000000000001,0.3799999999999999,1.4759999999999998,0.07000000000000028
-6.580000000000001,0.3799999999999999,1.4913333333333332,0.05466666666666686
-6.570000000000001,0.3799999999999999,1.5053333333333332,0.04066666666666685
-6.560000000000001,0.3799999999999999,1.5239999999999998,0.02200000000000024
-6.550000000000002,0.3799999999999999,1.5366666666666664,0.009333333333333638
-6.540000000000002,0.3799999999999999,1.55,0.0040000000000000036
-6.530000000000002,0.3799999999999999,1.5646666666666667,0.01866666666666661
-6.520000000000002,0.3799999999999999,1.5813333333333333,0.03533333333333322
-6.5100000000000025,0.3799999999999999,1.5990000000000002,0.05300000000000016
-6.500000000000003,0.3799999999999999,1.6153333333333335,0.06933333333333347
